pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type
20191224.190040.75-P-CM.GARC.0.HH,2019-12-24 19:00:40.758393,0.5977022,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:42.087085,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_723000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,2576,723000,overlap
20191224.190046.64-P-CM.GARC.0.HH,2019-12-24 19:00:46.648394,0.4894043,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:55.921758,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_726000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,165,726000,overlap
20191224.190051.62-S-CM.GARC.0.HH,2019-12-24 19:00:51.628394,0.37974787,S,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:56.146434,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_726000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,663,726000,overlap
20191224.190100.08-P-CM.GARC.0.HH,2019-12-24 19:01:00.088394,0.6334224,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:47.953219,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_6000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,9,6000,single
20191224.190111.32-S-CM.GARC.0.HH,2019-12-24 19:01:11.328394,0.428577,S,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:48.220708,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_6000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,1133,6000,single
20191224.190129.00-P-CM.FLO2.0.HH,2019-12-24 19:01:29.008393,0.59451145,P,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:19:32.131730,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHZ__20191224T190000Z__20191224T210000Z.mseed_6000,2019-12-24 19:00:00.018393,2019-12-24 21:00:00.018393,100.0,2899,6000,single
20191224.190136.96-S-CM.GARC.0.HH,2019-12-24 19:01:36.968393,0.51544,S,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:32.515620,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_9000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,697,9000,single
20191224.190136.99-P-CM.GARC.0.HH,2019-12-24 19:01:36.998394,0.69394404,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:48.089233,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_9000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,700,9000,single
20191224.190148.46-S-CM.GARC.0.HH,2019-12-24 19:01:48.468394,0.44391236,S,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:56.095207,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_732000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,347,732000,overlap
20191224.190148.55-P-CM.GARC.0.HH,2019-12-24 19:01:48.558393,0.39363754,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:42.213212,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_732000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,356,732000,overlap
