pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.190356.03-P-CM.CLEJA.10.HN,2019-12-24 19:03:56.030000,0.54,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:03:55.790000,2019-12-24 19:04:01.770000,0.63,42.6,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,0,8.137991977191389e-05
20191224.190358.25-P-CM.URMC.00.HH,2019-12-24 19:03:58.258393,0.52,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:03:58.028393,2019-12-24 19:04:04.568393,0.58,40.5,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,0,0.00011894114273385493
20191224.190402.74-S-CM.URMC.00.HH,2019-12-24 19:04:02.748393,0.37,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:03:58.028393,2019-12-24 19:04:04.568393,0.58,5.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,0,0.00032551780044517455
20191224.190414.06-P-CM.ORTC.00.HH,2019-12-24 19:04:14.068393,0.14,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:04:11.998393,2019-12-24 19:04:41.888393,0.84,1.8,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,0,0.000406905130389544
20191224.190415.99-P-CM.CHI.00.HH,2019-12-24 19:04:15.998394,0.9,P,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:04:15.808394,2019-12-24 19:04:41.408394,0.97,16.5,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,0,0.0006203639623485591
20191224.190433.60-S-CM.CHI.00.HH,2019-12-24 19:04:33.608394,0.43,S,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:15.808394,2019-12-24 19:04:41.408394,0.97,4.2,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,0,0.0007655215316410832
20191224.190433.83-S-CM.ORTC.00.HH,2019-12-24 19:04:33.838393,0.27,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:11.998393,2019-12-24 19:04:41.888393,0.84,6.2,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,0,7.80677613353015e-05
20191224.190901.52-P-CM.CLEJA.10.HN,2019-12-24 19:09:01.520000,0.78,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:01.490000,2019-12-24 19:09:05.610000,0.95,12.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,1,8.137991977191389e-05
20191224.190903.42-P-CM.URMC.00.HH,2019-12-24 19:09:03.428393,0.82,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:03.368393,2019-12-24 19:09:09.018393,0.92,12.8,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,1,0.00011894114273385493
20191224.190904.40-S-CM.CLEJA.10.HN,2019-12-24 19:09:04.400000,0.78,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:01.490000,2019-12-24 19:09:05.610000,0.95,3.5,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,1,0.00032551780044517455
20191224.190907.30-S-CM.URMC.00.HH,2019-12-24 19:09:07.308393,0.63,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:03.368393,2019-12-24 19:09:09.018393,0.92,8.5,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,1,0.000406905130389544
20191224.190919.00-P-CM.ORTC.00.HH,2019-12-24 19:09:19.008393,0.3,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:18.738393,2019-12-24 19:09:41.248393,0.58,0.6,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,1,0.0006203639623485591
