pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.191550.27-P-CM.URMC.00.HH,2019-12-24 19:15:50.278394,0.96603584,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:38.675269,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_816000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,528,816000,overlap,CM.URMC.00.HH,0,5.201637313177043e-06
20191224.191554.64-S-CM.URMC.00.HH,2019-12-24 19:15:54.648393,0.70729774,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:20.309722,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_93000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,2465,93000,single,CM.URMC.00.HH,0,4.428122102475832e-06
20191224.191604.90-P-CM.ORTC.00.HH,2019-12-24 19:16:04.908393,0.89216805,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:46.000934,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_816000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,1991,816000,overlap,CM.ORTC.00.HH,0,5.6457404771063765e-06
20191224.191606.98-P-CM.CHI.00.HH,2019-12-24 19:16:06.988394,0.8756902,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:46.508720,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed_816000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,2199,816000,overlap,CM.CHI.00.HH,0,7.64358984363595e-06
20191224.191624.36-S-CM.ORTC.00.HH,2019-12-24 19:16:24.368393,0.7822291,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:20.552200,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_96000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,2437,96000,single,CM.ORTC.00.HH,0,8.809264191329742e-06
20191224.194815.17-P-CM.URMC.00.HH,2019-12-24 19:48:15.178394,0.9058251,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:37.135809,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_288000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,1518,288000,single,CM.URMC.00.HH,1,5.201637313177043e-06
20191224.194818.91-S-CM.URMC.00.HH,2019-12-24 19:48:18.918393,0.8736466,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:21.113033,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_288000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,1892,288000,single,CM.URMC.00.HH,1,4.428122102475832e-06
20191224.194830.48-P-CM.ORTC.00.HH,2019-12-24 19:48:30.488393,0.8827814,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:30.608529,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_1011000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,1549,1011000,overlap,CM.ORTC.00.HH,1,5.6457404771063765e-06
20191224.194833.28-P-CM.CHI.00.HH,2019-12-24 19:48:33.288394,0.78189105,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:47.709480,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1011000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,1829,1011000,overlap,CM.CHI.00.HH,1,7.64358984363595e-06
20191224.194845.99-S-CM.ORTC.00.HH,2019-12-24 19:48:45.998393,0.6368468,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:24.606580,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1014000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,100,1014000,overlap,CM.ORTC.00.HH,1,8.809264191329742e-06
20191224.195339.47-P-CM.URMC.00.HH,2019-12-24 19:53:39.478393,0.9460664,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:24.701291,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_1041000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,2448,1041000,overlap,CM.URMC.00.HH,2,5.201637313177043e-06
20191224.195343.64-S-CM.URMC.00.HH,2019-12-24 19:53:43.648393,0.6721147,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:25.156418,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_1041000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,2865,1041000,overlap,CM.URMC.00.HH,2,4.428122102475832e-06
20191224.195355.18-P-CM.ORTC.00.HH,2019-12-24 19:53:55.188393,0.8794164,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:24.583531,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1044000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,1019,1044000,overlap,CM.ORTC.00.HH,2,5.6457404771063765e-06
