pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.190236.10-P-CM.URMC.00.HH,2019-12-24 19:02:36.108393,0.14,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:02:35.568393,2019-12-24 19:02:41.858393,0.25,6.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190240.25-S-CM.URMC.00.HH,2019-12-24 19:02:40.258393,0.18,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 19:02:35.568393,2019-12-24 19:02:41.858393,0.25,12.6,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190243.92-P-CM.PRA.00.HH,2019-12-24 19:02:43.928393,0.74,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:02:43.788393,2019-12-24 19:02:58.178393,0.79,13.3,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190251.05-P-CM.ORTC.00.HH,2019-12-24 19:02:51.058393,0.51,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:02:50.968393,2019-12-24 19:03:12.678393,0.93,2.2,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190253.98-S-CM.PRA.00.HH,2019-12-24 19:02:53.988393,0.63,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 19:02:43.788393,2019-12-24 19:02:58.178393,0.79,10.7,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190306.42-S-CM.ORTC.00.HH,2019-12-24 19:03:06.428393,0.63,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 19:02:50.968393,2019-12-24 19:03:12.678393,0.93,3.2,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190358.29-P-CM.URMC.00.HH,2019-12-24 19:03:58.298393,0.39,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:03:57.918393,2019-12-24 19:04:04.408393,0.27,40.4,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190402.71-S-CM.URMC.00.HH,2019-12-24 19:04:02.718393,0.17,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 19:03:57.918393,2019-12-24 19:04:04.408393,0.27,5.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190406.11-P-CM.PRA.00.HH,2019-12-24 19:04:06.118393,0.27,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:04:05.988393,2019-12-24 19:04:20.648393,0.3,25.4,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190414.06-P-CM.ORTC.00.HH,2019-12-24 19:04:14.068393,0.16,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:04:13.818393,2019-12-24 19:04:42.008393,0.83,1.8,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190416.00-P-CM.CHI.00.HH,2019-12-24 19:04:16.008394,0.85,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 19:04:15.628394,2019-12-24 19:04:41.198394,0.96,15.8,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed
