pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.190236.12-P-CM.URMC.00.HH,2019-12-24 19:02:36.128393,0.13,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:02:35.468393,2019-12-24 19:02:41.878393,0.25,6.4,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190240.26-S-CM.URMC.00.HH,2019-12-24 19:02:40.268393,0.19,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:02:35.468393,2019-12-24 19:02:41.878393,0.25,12.6,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190243.88-P-CM.PRA.00.HH,2019-12-24 19:02:43.888393,0.78,P,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:02:43.818393,2019-12-24 19:02:58.228393,0.49,12.7,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190251.03-P-CM.ORTC.00.HH,2019-12-24 19:02:51.038393,0.52,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:02:50.988393,2019-12-24 19:03:12.738393,0.95,2.3,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190253.96-S-CM.PRA.00.HH,2019-12-24 19:02:53.968393,0.48,S,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:02:43.818393,2019-12-24 19:02:58.228393,0.49,11.3,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190306.43-S-CM.ORTC.00.HH,2019-12-24 19:03:06.438393,0.65,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:02:50.988393,2019-12-24 19:03:12.738393,0.95,3.5,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190356.03-P-CM.CLEJA.10.HN,2019-12-24 19:03:56.030000,0.54,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:03:55.790000,2019-12-24 19:04:01.770000,0.63,42.6,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190358.25-P-CM.URMC.00.HH,2019-12-24 19:03:58.258393,0.52,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:03:58.028393,2019-12-24 19:04:04.568393,0.58,40.5,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190359.71-S-CM.CLEJA.10.HN,2019-12-24 19:03:59.710000,0.1,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:03:55.790000,2019-12-24 19:04:01.770000,0.63,3.3,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190402.74-S-CM.URMC.00.HH,2019-12-24 19:04:02.748393,0.37,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:03:58.028393,2019-12-24 19:04:04.568393,0.58,5.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190406.15-P-CM.PRA.00.HH,2019-12-24 19:04:06.158393,0.53,P,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:04:06.078393,2019-12-24 19:04:20.528393,0.43,24.8,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190414.06-P-CM.ORTC.00.HH,2019-12-24 19:04:14.068393,0.14,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:04:11.998393,2019-12-24 19:04:41.888393,0.84,1.8,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
